Address,General Price,Price/m,Area,Size,Rooms,Floor,Year,Link
Pärnu mnt 137-35,292400,4207.19,"Kesklinna linnaosa, Tallinn, Harju maakond",69.5,3,8/16,2024,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-parnu-mnt/2618380?i=0
"Pikaliiva tn 7-8, Pikaliiva",198000,3750,"Haabersti linnaosa, Tallinn, Harju maakond",52.8,2,1/4,2023,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/7194080?i=1
Lennuki tn 2-1402,1075000,9413.31,"Kesklinna linnaosa, Tallinn, Harju maakond",114.2,4,14/30,2027,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-lennuki-tn/7583472?i=2
Pärnu mnt 137-59,345400,4176.54,"Kesklinna linnaosa, Tallinn, Harju maakond",82.7,4,9/16,2024,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-parnu-mnt/8565441?i=3
Manufaktuuri tn 5-205,429000,4852.94,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",88.4,4,2/5,2026,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-manufaktuuri-tn/2180714?i=4
Manufaktuuri tn 5-222,576000,4877.22,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",118.1,4,1/5,2026,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-manufaktuuri-tn/5302039?i=5
"Narva mnt 120-31, Kadriorg",145000,5534.35,"Kadriorg, Tallinn, Harju maakond",26.2,1,3/5,2025,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kadriorg-narva-mnt/6960271?i=6
"Pikaliiva tn 5-15, Pikaliiva",315490,3810.27,"Haabersti linnaosa, Tallinn, Harju maakond",82.8,4,2/4,2023,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/1583970?i=7
"Kalma tn 4-2, Kalamaja",349900,5206.85,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",67.2,3,1/4,2025,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-kalma-tn/7643533?i=8
"Kalma tn 4-4, Kalamaja",264900,5612.29,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",47.2,2,1/4,2025,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-kalma-tn/1511593?i=9
Jaama tn 6-22,449000,5282.35,"Nõmme linnaosa, Tallinn, Harju maakond",85,3,4/4,2024,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-nomme-linnaosa-jaama-tn/5762612?i=10
"Tartu mnt 15-17, Stellar",439000,5487.5,"Kesklinna linnaosa, Tallinn, Harju maakond",80,3,4/16,2027,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-tartu-mnt/4471700?i=11
"A. Adamsoni tn 10-3, Kassisaba",449000,5000,"Kesklinna linnaosa, Tallinn, Harju maakond",89.8,3,2/4,N/A,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-a-adamsoni-tn/8032595?i=12
"A. Adamsoni tn 10-3, Kassisaba",549000,4452.55,"Kesklinna linnaosa, Tallinn, Harju maakond",123.3,3,2/4,N/A,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-a-adamsoni-tn/5071468?i=13
Nõmme tee 57-22,399900,4463.17,"Kristiine linnaosa, Tallinn, Harju maakond",89.6,4,3/3,2023,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-nomme-tee/6796477?i=14
"Luise tn 24-2, Kassisaba",120000,5633.8,"Kesklinna linnaosa, Tallinn, Harju maakond",21.3,1,1/3,2026,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-luise-tn/7860063?i=15
Nõmme tee 57-2,339900,4727.4,"Kristiine linnaosa, Tallinn, Harju maakond",71.9,3,1/3,2023,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-nomme-tee/6421929?i=16
"Luise tn 24/1-2, Kassisaba",455940,5100,"Kesklinna linnaosa, Tallinn, Harju maakond",89.4,4,1/3,2026,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-luise-tn/1143528?i=17
